WAFERID,LOTID,WAFERNO,LOTTYPE,EVENTTIME,MATERIALID,SLOTNO,NETDIE,PRODCTGROUP,CATEGORY,EQPNAME,COMMENT,BINTOTAL,BIN00,BIN01,BIN02,BIN03,BIN04,BIN05,BIN06,BIN07,BIN08,BIN09,BIN10,BIN11,BIN12,BIN13,BIN14,BIN15,BIN16,BIN17,BIN18,BIN19,BIN20,BIN21,BIN22,BIN23,BIN24,BIN25,BIN26,BIN27,BIN28,BIN29,BIN30
NBGAF055A,NBGAF0550,B1ITE5,B,2022-02-01 02:27:07,SX897BH30F02,18,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4348,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF055B,NBGAF0550,B1ITE6,B,2022-02-01 02:27:07,SX897BH30F02,7,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4355,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF055C,NBGAF0550,B1ITE7,B,2022-02-01 02:27:07,SX897BH30F02,20,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4358,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF055D,NBGAF0550,B1ITE8,B,2022-02-01 02:27:07,SX897BH30F02,8,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4348,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF055E,NBGAF0550,B1ITE9,B,2022-02-01 02:27:07,SX897BH30F02,23,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4360,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF055F,NBGAF0550,B1ITEA,B,2022-02-01 02:27:07,SX897BH30F02,9,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4337,4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF055G,NBGAF0550,B1ITEB,B,2022-02-01 02:27:07,SX897BH30F02,24,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4353,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF055H,NBGAF0550,B1ITEC,B,2022-02-01 02:27:07,SX897BH30F02,10,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4333,1,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF055I,NBGAF0550,B1ITED,B,2022-02-01 02:27:07,SX897BH30F02,11,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4302,2,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF055J,NBGAF0550,B1ITEE,B,2022-02-01 02:27:07,SX897BH30F02,12,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4346,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF055K,NBGAF0550,B1ITEF,B,2022-02-01 02:27:07,SX897BH30F02,13,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4302,1,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF055L,NBGAF0550,B1ITEG,B,2022-02-01 02:27:07,SX897BH30F02,14,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4359,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF055M,NBGAF0550,B1ITEH,B,2022-02-01 02:27:07,SX897BH30F02,15,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4352,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF055N,NBGAF0550,B1ITEI,B,2022-02-01 02:27:07,SX897BH30F02,5,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4328,4,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF055O,NBGAF0550,B1ITEJ,B,2022-02-01 02:27:07,SX897BH30F02,6,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4292,11,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL0611,NAGAL0610,B1IXFC,A,2022-02-01 02:36:02,SX806CYHRF01,1,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10375,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL0612,NAGAL0610,B1IXFD,A,2022-02-01 02:36:02,SX806CYHRF01,12,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10406,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL0613,NAGAL0610,B1IXFE,A,2022-02-01 02:36:02,SX806CYHRF01,4,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10400,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL0614,NAGAL0610,B1IXFF,A,2022-02-01 02:36:02,SX806CYHRF01,3,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10409,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL0615,NAGAL0610,B1IXFG,A,2022-02-01 02:36:02,SX806CYHRF01,5,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10407,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL0616,NAGAL0610,B1IXFH,A,2022-02-01 02:36:02,SX806CYHRF01,10,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10395,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL0617,NAGAL0610,B1IXFI,A,2022-02-01 02:36:02,SX806CYHRF01,11,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10406,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL0618,NAGAL0610,B1IXFJ,A,2022-02-01 02:36:02,SX806CYHRF01,6,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10398,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL0619,NAGAL0610,B1IXFK,A,2022-02-01 02:36:02,SX806CYHRF01,7,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10403,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL061A,NAGAL0610,B1IXFL,A,2022-02-01 02:36:02,SX806CYHRF01,8,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10410,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL061B,NAGAL0610,B1IXFM,A,2022-02-01 02:36:02,SX806CYHRF01,9,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10412,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL061C,NAGAL0610,B1IXFN,A,2022-02-01 02:36:02,SX806CYHRF01,13,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10405,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL061D,NAGAL0610,B1IXFO,A,2022-02-01 02:36:02,SX806CYHRF01,14,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10406,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL061E,NAGAL0610,B1IXFP,A,2022-02-01 02:36:02,SX806CYHRF01,23,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10392,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL061F,NAGAL0610,B1IXFQ,A,2022-02-01 02:36:02,SX806CYHRF01,24,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10408,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL061G,NAGAL0610,B1IXFR,A,2022-02-01 02:36:02,SX806CYHRF01,16,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10409,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL061H,NAGAL0610,B1IXFS,A,2022-02-01 02:36:02,SX806CYHRF01,15,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10404,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAL061I,NAGAL0610,B1IXFT,A,2022-02-01 02:36:02,SX806CYHRF01,17,9840,TC-CSP,TC_DPX,외관검사기#9, ,10414,10402,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
